timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703106359215,20,Character creation,200,OK,Thread Group 1-16,text,true,,264,284,23,23,http://localhost:3001/character,20,0,0
1703106359216,20,Character creation,200,OK,Thread Group 1-14,text,true,,264,284,23,23,http://localhost:3001/character,20,0,0
1703106359217,20,Character creation,200,OK,Thread Group 1-15,text,true,,264,284,24,24,http://localhost:3001/character,20,0,0
1703106359218,20,Character creation,200,OK,Thread Group 1-17,text,true,,264,284,24,24,http://localhost:3001/character,20,0,0
1703106359219,20,Character creation,200,OK,Thread Group 1-8,text,true,,264,284,24,24,http://localhost:3001/character,20,0,0
1703106359185,55,Get characters,200,OK,Thread Group 1-19,text,true,,834,126,24,24,http://localhost:3001/characters,55,0,1
1703106359222,19,Character change,200,OK,Thread Group 1-3,text,true,,266,285,24,24,http://localhost:3001/character/5,19,0,0
1703106359223,19,Character change,200,OK,Thread Group 1-9,text,true,,266,285,24,24,http://localhost:3001/character/5,19,0,0
1703106359224,18,Character change,200,OK,Thread Group 1-7,text,true,,266,285,24,24,http://localhost:3001/character/5,18,0,0
1703106359225,18,Character change,200,OK,Thread Group 1-2,text,true,,266,285,25,25,http://localhost:3001/character/5,18,0,0
1703106359226,19,Character change,200,OK,Thread Group 1-1,text,true,,266,285,25,25,http://localhost:3001/character/5,19,0,0
1703106359227,18,Character change,200,OK,Thread Group 1-5,text,true,,266,285,25,25,http://localhost:3001/character/5,18,0,0
1703106359231,15,Character change,200,OK,Thread Group 1-11,text,true,,266,285,25,25,http://localhost:3001/character/5,15,0,0
1703106359233,14,Character change,200,OK,Thread Group 1-12,text,true,,266,285,25,25,http://localhost:3001/character/5,14,0,0
1703106359234,14,Character change,200,OK,Thread Group 1-6,text,true,,266,285,25,25,http://localhost:3001/character/5,14,0,0
1703106359234,15,Character change,200,OK,Thread Group 1-13,text,true,,266,285,25,25,http://localhost:3001/character/5,15,0,0
1703106359235,15,Character change,200,OK,Thread Group 1-4,text,true,,266,285,25,25,http://localhost:3001/character/5,15,0,0
1703106359236,15,Character change,200,OK,Thread Group 1-16,text,true,,266,285,25,25,http://localhost:3001/character/5,15,0,0
1703106359237,15,Character change,200,OK,Thread Group 1-14,text,true,,266,285,25,25,http://localhost:3001/character/5,15,0,0
1703106359237,16,Character change,200,OK,Thread Group 1-15,text,true,,266,285,25,25,http://localhost:3001/character/5,16,0,0
1703106359239,15,Character change,200,OK,Thread Group 1-17,text,true,,266,285,26,26,http://localhost:3001/character/5,15,0,0
1703106359220,35,Character creation,200,OK,Thread Group 1-10,text,true,,264,284,26,26,http://localhost:3001/character,35,0,0
1703106359221,36,Character by id,200,OK,Thread Group 1-18,text,true,,257,127,26,26,http://localhost:3001/character/1,36,0,0
1703106359196,61,Get characters,200,OK,Thread Group 1-20,text,true,,866,126,26,26,http://localhost:3001/characters,61,0,1
1703106359241,18,Deletion,200,OK,Thread Group 1-3,text,true,,249,213,26,26,http://localhost:3001/character/4,17,0,0
1703106359242,17,Deletion,200,OK,Thread Group 1-9,text,true,,249,213,26,26,http://localhost:3001/character/4,17,0,0
1703106359243,17,Deletion,200,OK,Thread Group 1-7,text,true,,249,213,26,26,http://localhost:3001/character/4,17,0,0
1703106359244,17,Deletion,200,OK,Thread Group 1-2,text,true,,249,213,26,26,http://localhost:3001/character/4,17,0,0
1703106359245,19,Deletion,200,OK,Thread Group 1-1,text,true,,249,213,22,22,http://localhost:3001/character/4,19,0,0
1703106359246,19,Deletion,200,OK,Thread Group 1-5,text,true,,249,213,21,21,http://localhost:3001/character/4,19,0,0
1703106359247,19,Deletion,200,OK,Thread Group 1-11,text,true,,249,213,21,21,http://localhost:3001/character/4,19,0,0
1703106359247,21,Deletion,200,OK,Thread Group 1-12,text,true,,249,213,20,20,http://localhost:3001/character/4,21,0,0
1703106359248,21,Deletion,200,OK,Thread Group 1-6,text,true,,249,213,19,19,http://localhost:3001/character/4,21,0,0
1703106359249,21,Deletion,200,OK,Thread Group 1-13,text,true,,249,213,18,18,http://localhost:3001/character/4,21,0,0
1703106359250,21,Deletion,200,OK,Thread Group 1-4,text,true,,249,213,17,17,http://localhost:3001/character/4,21,0,0
1703106359251,21,Deletion,200,OK,Thread Group 1-16,text,true,,249,213,16,16,http://localhost:3001/character/4,21,0,0
1703106359252,21,Deletion,200,OK,Thread Group 1-14,text,true,,249,213,16,16,http://localhost:3001/character/4,21,0,0
1703106359253,21,Deletion,200,OK,Thread Group 1-15,text,true,,249,213,15,15,http://localhost:3001/character/4,21,0,0
1703106359254,22,Deletion,200,OK,Thread Group 1-17,text,true,,249,213,14,14,http://localhost:3001/character/4,22,0,0
1703106359256,21,Character change,200,OK,Thread Group 1-10,text,true,,266,285,13,13,http://localhost:3001/character/5,21,0,0
1703106359240,38,Character change,200,OK,Thread Group 1-8,text,true,,266,285,13,13,http://localhost:3001/character/5,38,0,0
1703106359240,39,Character by id,200,OK,Thread Group 1-19,text,true,,257,127,13,13,http://localhost:3001/character/1,39,0,0
1703106359206,74,Get characters,200,OK,Thread Group 1-21,text,true,,413,126,13,13,http://localhost:3001/characters,74,0,1
1703106359277,5,Deletion,200,OK,Thread Group 1-10,text,true,,249,213,13,13,http://localhost:3001/character/4,5,0,0
1703106359278,5,Deletion,200,OK,Thread Group 1-8,text,true,,249,213,12,12,http://localhost:3001/character/4,5,0,0
1703106359279,5,Character creation,200,OK,Thread Group 1-19,text,true,,264,284,11,11,http://localhost:3001/character,5,0,0
1703106359257,28,Character creation,200,OK,Thread Group 1-18,text,true,,264,284,11,11,http://localhost:3001/character,28,0,0
1703106359258,28,Character by id,200,OK,Thread Group 1-20,text,true,,257,127,11,11,http://localhost:3001/character/1,28,0,0
1703106359216,71,Get characters,200,OK,Thread Group 1-22,text,true,,411,126,11,11,http://localhost:3001/characters,71,0,0
1703106359284,9,Character change,200,OK,Thread Group 1-19,text,true,,266,285,12,12,http://localhost:3001/character/5,9,0,0
1703106359286,8,Character change,200,OK,Thread Group 1-18,text,true,,266,285,12,12,http://localhost:3001/character/5,8,0,0
1703106359287,8,Character creation,200,OK,Thread Group 1-20,text,true,,264,284,12,12,http://localhost:3001/character,8,0,0
1703106359287,9,Character by id,200,OK,Thread Group 1-22,text,true,,257,127,12,12,http://localhost:3001/character/1,9,0,0
1703106359280,17,Character by id,200,OK,Thread Group 1-21,text,true,,257,127,12,12,http://localhost:3001/character/1,17,0,0
1703106359224,73,Get characters,200,OK,Thread Group 1-23,text,true,,443,126,13,13,http://localhost:3001/characters,73,0,1
1703106359294,6,Deletion,200,OK,Thread Group 1-19,text,true,,249,213,13,13,http://localhost:3001/character/4,6,0,0
1703106359294,8,Deletion,200,OK,Thread Group 1-18,text,true,,249,213,12,12,http://localhost:3001/character/4,8,0,0
1703106359296,7,Character change,200,OK,Thread Group 1-20,text,true,,266,285,11,11,http://localhost:3001/character/5,7,0,0
1703106359296,8,Character creation,200,OK,Thread Group 1-22,text,true,,264,284,11,11,http://localhost:3001/character,8,0,0
1703106359297,8,Character creation,200,OK,Thread Group 1-21,text,true,,264,284,11,11,http://localhost:3001/character,8,0,0
1703106359298,8,Character by id,200,OK,Thread Group 1-23,text,true,,257,127,11,11,http://localhost:3001/character/1,8,0,0
1703106359237,70,Get characters,200,OK,Thread Group 1-24,text,true,,443,126,12,12,http://localhost:3001/characters,70,0,1
1703106359303,6,Deletion,200,OK,Thread Group 1-20,text,true,,249,213,12,12,http://localhost:3001/character/4,6,0,0
1703106359304,6,Character change,200,OK,Thread Group 1-22,text,true,,266,285,11,11,http://localhost:3001/character/5,6,0,0
1703106359305,7,Character change,200,OK,Thread Group 1-21,text,true,,266,285,11,11,http://localhost:3001/character/5,7,0,0
1703106359306,7,Character creation,200,OK,Thread Group 1-23,text,true,,264,284,11,11,http://localhost:3001/character,7,0,0
1703106359243,71,Get characters,200,OK,Thread Group 1-25,text,true,,445,126,11,11,http://localhost:3001/characters,71,0,1
1703106359310,8,Deletion,200,OK,Thread Group 1-22,text,true,,249,213,12,12,http://localhost:3001/character/4,8,0,0
1703106359312,7,Deletion,200,OK,Thread Group 1-21,text,true,,249,213,11,11,http://localhost:3001/character/4,7,0,0
1703106359314,7,Character change,200,OK,Thread Group 1-23,text,true,,266,285,10,10,http://localhost:3001/character/5,7,0,0
1703106359314,8,Character by id,200,OK,Thread Group 1-25,text,true,,257,127,10,10,http://localhost:3001/character/1,8,0,0
1703106359307,16,Character by id,200,OK,Thread Group 1-24,text,true,,257,127,11,11,http://localhost:3001/character/1,16,0,0
1703106359254,70,Get characters,200,OK,Thread Group 1-26,text,true,,383,126,11,11,http://localhost:3001/characters,70,0,1
1703106359322,4,Deletion,200,OK,Thread Group 1-23,text,true,,249,213,11,11,http://localhost:3001/character/4,4,0,0
1703106359323,4,Character creation,200,OK,Thread Group 1-25,text,true,,264,284,10,10,http://localhost:3001/character,4,0,0
1703106359324,4,Character creation,200,OK,Thread Group 1-24,text,true,,264,284,10,10,http://localhost:3001/character,4,0,0
1703106359266,63,Get characters,200,OK,Thread Group 1-27,text,true,,413,126,10,10,http://localhost:3001/characters,63,0,1
1703106359327,5,Character change,200,OK,Thread Group 1-25,text,true,,266,285,10,10,http://localhost:3001/character/5,5,0,0
1703106359329,4,Character change,200,OK,Thread Group 1-24,text,true,,266,285,11,11,http://localhost:3001/character/5,4,0,0
1703106359325,9,Character by id,200,OK,Thread Group 1-26,text,true,,257,127,11,11,http://localhost:3001/character/1,9,0,0
1703106359274,61,Get characters,200,OK,Thread Group 1-28,text,true,,415,126,11,11,http://localhost:3001/characters,61,0,0
1703106359332,5,Deletion,200,OK,Thread Group 1-25,text,true,,249,213,11,11,http://localhost:3001/character/4,5,0,0
1703106359333,5,Deletion,200,OK,Thread Group 1-24,text,true,,249,213,10,10,http://localhost:3001/character/4,5,0,0
1703106359334,5,Character creation,200,OK,Thread Group 1-26,text,true,,264,284,9,9,http://localhost:3001/character,5,0,0
1703106359329,11,Character by id,200,OK,Thread Group 1-27,text,true,,257,127,9,9,http://localhost:3001/character/1,10,0,0
1703106359288,52,Get characters,200,OK,Thread Group 1-29,text,true,,381,126,9,9,http://localhost:3001/characters,52,0,0
1703106359339,2,Character change,200,OK,Thread Group 1-26,text,true,,266,285,9,9,http://localhost:3001/character/5,2,0,0
1703106359335,7,Character by id,200,OK,Thread Group 1-28,text,true,,257,127,9,9,http://localhost:3001/character/1,7,0,0
1703106359298,44,Get characters,200,OK,Thread Group 1-30,text,true,,383,126,9,9,http://localhost:3001/characters,44,0,1
1703106359341,3,Deletion,200,OK,Thread Group 1-26,text,true,,249,213,9,9,http://localhost:3001/character/4,2,0,0
1703106359340,4,Character creation,200,OK,Thread Group 1-27,text,true,,264,284,8,8,http://localhost:3001/character,4,0,0
1703106359340,5,Character by id,200,OK,Thread Group 1-29,text,true,,257,127,8,8,http://localhost:3001/character/1,5,0,0
1703106359307,38,Get characters,200,OK,Thread Group 1-31,text,true,,383,126,8,8,http://localhost:3001/characters,38,0,0
1703106359344,3,Character change,200,OK,Thread Group 1-27,text,true,,266,285,8,8,http://localhost:3001/character/5,2,0,0
1703106359342,5,Character creation,200,OK,Thread Group 1-28,text,true,,264,284,8,8,http://localhost:3001/character,5,0,0
1703106359342,6,Character by id,200,OK,Thread Group 1-30,text,true,,257,127,8,8,http://localhost:3001/character/1,6,0,0
1703106359315,33,Get characters,200,OK,Thread Group 1-32,text,true,,415,126,8,8,http://localhost:3001/characters,33,0,1
1703106359347,3,Deletion,200,OK,Thread Group 1-27,text,true,,249,213,9,9,http://localhost:3001/character/4,3,0,0
1703106359347,4,Character change,200,OK,Thread Group 1-28,text,true,,266,285,8,8,http://localhost:3001/character/5,4,0,0
1703106359348,4,Character creation,200,OK,Thread Group 1-30,text,true,,264,284,8,8,http://localhost:3001/character,4,0,0
1703106359345,8,Character creation,200,OK,Thread Group 1-29,text,true,,264,284,8,8,http://localhost:3001/character,8,0,0
1703106359346,7,Character by id,200,OK,Thread Group 1-31,text,true,,257,127,8,8,http://localhost:3001/character/1,7,0,0
1703106359324,30,Get characters,200,OK,Thread Group 1-33,text,true,,445,126,8,8,http://localhost:3001/characters,30,0,0
1703106359351,4,Deletion,200,OK,Thread Group 1-28,text,true,,249,213,9,9,http://localhost:3001/character/4,4,0,0
1703106359352,4,Character change,200,OK,Thread Group 1-30,text,true,,266,285,8,8,http://localhost:3001/character/5,4,0,0
1703106359353,5,Character change,200,OK,Thread Group 1-29,text,true,,266,285,8,8,http://localhost:3001/character/5,5,0,0
1703106359349,10,Character by id,200,OK,Thread Group 1-32,text,true,,257,127,8,8,http://localhost:3001/character/1,10,0,0
1703106359333,26,Get characters,200,OK,Thread Group 1-34,text,true,,415,126,8,8,http://localhost:3001/characters,26,0,1
1703106359357,3,Deletion,200,OK,Thread Group 1-30,text,true,,249,213,8,8,http://localhost:3001/character/4,3,0,0
1703106359358,3,Deletion,200,OK,Thread Group 1-29,text,true,,249,213,7,7,http://localhost:3001/character/4,3,0,0
1703106359354,8,Character creation,200,OK,Thread Group 1-31,text,true,,264,284,6,6,http://localhost:3001/character,8,0,0
1703106359355,7,Character by id,200,OK,Thread Group 1-33,text,true,,257,127,6,6,http://localhost:3001/character/1,7,0,0
1703106359349,14,Get characters,200,OK,Thread Group 1-35,text,true,,381,126,7,7,http://localhost:3001/characters,14,0,1
1703106359362,2,Character change,200,OK,Thread Group 1-31,text,true,,266,285,7,7,http://localhost:3001/character/5,2,0,0
1703106359359,7,Character creation,200,OK,Thread Group 1-32,text,true,,264,284,7,7,http://localhost:3001/character,7,0,0
1703106359359,7,Character by id,200,OK,Thread Group 1-34,text,true,,257,127,7,7,http://localhost:3001/character/1,7,0,0
1703106359355,12,Get characters,200,OK,Thread Group 1-36,text,true,,413,126,7,7,http://localhost:3001/characters,12,0,1
1703106359365,3,Deletion,200,OK,Thread Group 1-31,text,true,,249,213,7,7,http://localhost:3001/character/4,3,0,0
1703106359366,2,Character change,200,OK,Thread Group 1-32,text,true,,266,285,6,6,http://localhost:3001/character/5,2,0,0
1703106359366,3,Character creation,200,OK,Thread Group 1-34,text,true,,264,284,6,6,http://localhost:3001/character,3,0,0
1703106359363,7,Character creation,200,OK,Thread Group 1-33,text,true,,264,284,6,6,http://localhost:3001/character,7,0,0
